contestId,index,name,type,rating,tags
2210,A,A Simple Sequence,PROGRAMMING,800,"constructive algorithms,dp,greedy,number theory"
2209,F,Dynamic Values And Maximum Sum,PROGRAMMING,2700,"data structures,greedy,implementation,trees"
2209,E,A Trivial String Problem,PROGRAMMING,2200,"brute force,dp,hashing,string suffix structures,strings"
2209,D,Ghostfires,PROGRAMMING,1800,"constructive algorithms,greedy"
2209,C,Find the Zero,PROGRAMMING,1400,"constructive algorithms,interactive"
2209,B,Array,PROGRAMMING,900,greedy
2209,A,Flip Flops,PROGRAMMING,800,greedy
2208,E,Counting Cute Arrays,PROGRAMMING,2700,"combinatorics,dp"
2208,D2,Tree Orientation (Hard Version),PROGRAMMING,2200,"dfs and similar,dsu,graphs,greedy,sortings,trees"
2208,D1,Tree Orientation (Easy Version),PROGRAMMING,1800,"constructive algorithms,dfs and similar,dsu,graphs,greedy,matrices,trees"
2208,C,Stamina and Tasks,PROGRAMMING,1300,"dp,greedy,math"
2208,B,Cyclists,PROGRAMMING,1100,"brute force,games,greedy,implementation,math,sortings"
2208,A,Bingo Candies,PROGRAMMING,800,"constructive algorithms,math"
2207,H3,Bowser's Castle (Hard Version),PROGRAMMING,,"constructive algorithms,divide and conquer,interactive,trees,two pointers"
2207,H2,Bowser's Castle (Medium Version),PROGRAMMING,,"constructive algorithms,divide and conquer,interactive,trees,two pointers"
2207,H1,Bowser's Castle (Easy Version),PROGRAMMING,,"binary search,constructive algorithms,divide and conquer,greedy,interactive,trees"
2207,G,Toothless,PROGRAMMING,3300,"constructive algorithms,dfs and similar,dsu"
2207,F,Hanabi,PROGRAMMING,2900,"binary search,data structures,dp,dsu,flows,graph matchings,graphs,greedy"
2207,E2,N-MEX (Counting Version),PROGRAMMING,2400,"combinatorics,constructive algorithms,math"
2207,E1,N-MEX (Constructive Version),PROGRAMMING,2100,"constructive algorithms,greedy"
2207,D,Boxed Like a Fish,PROGRAMMING,2200,"dfs and similar,dp,games,shortest paths,trees"
2207,C,Where's My Water?,PROGRAMMING,1600,"data structures,divide and conquer,dp,math"
2207,B,One Night At Freddy's,PROGRAMMING,1600,"games,greedy,sortings"
2207,A,1-1,PROGRAMMING,800,"greedy,strings"
2206,M,Deformed Balance,PROGRAMMING,2900,
2206,L,Onion,PROGRAMMING,3500,
2206,K,Time Display Stickers,PROGRAMMING,1300,binary search
2206,J,Worldwide Playlist,PROGRAMMING,1700,math
2206,I,Growth Factor,PROGRAMMING,2900,"combinatorics,dp,math,number theory"
2206,H,Reflect Sort,PROGRAMMING,1800,number theory
2206,G,Extra Transition,PROGRAMMING,3100,graphs
2206,F,Minesweeper String,PROGRAMMING,2400,"fft,number theory"
2206,E,Parallel Sums,PROGRAMMING,2500,"data structures,geometry"
2206,D,Christmas Tree Un-decoration,PROGRAMMING,2600,"data structures,dp,trees"
2206,C,Upside Down Dijkstra,PROGRAMMING,2200,dfs and similar
2206,B,Subtree Removal Game,PROGRAMMING,2500,"binary search,games,trees"
2206,A,Compare Suffixes,PROGRAMMING,3500,interactive
2205,G,Simons and Diophantus Equation,PROGRAMMING,3000,"bitmasks,brute force,data structures,math,number theory"
2205,F,Simons and Reconstructing His Roads,PROGRAMMING,2400,"constructive algorithms,data structures,dsu,graphs"
2205,E,Simons and Dividing the Rhythm,PROGRAMMING,2100,"combinatorics,data structures,dp,dsu,math,string suffix structures,strings"
2205,D,Simons and Beating Peaks,PROGRAMMING,1700,"data structures,divide and conquer,dp,greedy,implementation,trees"
2205,C,Simons and Posting Blogs,PROGRAMMING,1500,"greedy,sortings"
2205,B,Simons and Cakes for Success,PROGRAMMING,800,"implementation,math"
2205,A,Simons and Making It Beautiful,PROGRAMMING,800,"brute force,constructive algorithms"
2204,G,Grid Path,PROGRAMMING,2700,"dp,graphs,matrices"
2204,F,Sum of Fractions,PROGRAMMING,2200,"binary search,brute force,combinatorics,data structures,greedy,math,number theory,two pointers"
2204,E,Sum of Digits (and Again),PROGRAMMING,1800,"brute force,constructive algorithms,math"
2204,D,Alternating Path,PROGRAMMING,1400,"constructive algorithms,dfs and similar,graph matchings,graphs"
2204,C,Spring,PROGRAMMING,1000,"math,number theory"
2204,B,Right Maximum,PROGRAMMING,800,greedy
2204,A,Passing the Ball,PROGRAMMING,800,"brute force,implementation"
2203,F,Binary Search with One Swap,PROGRAMMING,2600,"binary search,divide and conquer,dp,hashing,math,two pointers"
2203,E,Probabilistic Card Game,PROGRAMMING,2200,"binary search,data structures,games,greedy,math,ternary search"
2203,D,Divisibility Game,PROGRAMMING,1700,"brute force,games,greedy,number theory"
2203,C,Test Generator,PROGRAMMING,1500,"binary search,bitmasks,greedy,math"
2203,B,Beautiful Numbers,PROGRAMMING,1000,"bitmasks,dp,fft,greedy,math"
2203,A,Towers of Boxes,PROGRAMMING,800,math
2202,G1,Monotone Monochrome Matrices (Easy Version),PROGRAMMING,2500,data structures
2202,B,ABAB Construction,PROGRAMMING,1200,"dp,greedy,implementation"
2202,A,Parkour Design,PROGRAMMING,800,math
2201,G,Codeforces Heuristic Contest 1001,PROGRAMMING,3500,constructive algorithms
2201,F2,Monotone Monochrome Matrices (Hard Version),PROGRAMMING,2800,"constructive algorithms,data structures,hashing,math"
2201,F1,Monotone Monochrome Matrices (Medium Version),PROGRAMMING,2900,"data structures,hashing"
2201,E,ABBA Counting,PROGRAMMING,2900,"fft,math,number theory,strings"
2201,D,Binary Not Search and Queries,PROGRAMMING,2500,"data structures,greedy,implementation"
2201,C,Rigged Bracket Sequence,PROGRAMMING,2000,"combinatorics,dp,greedy"
2201,B,Recollect Numbers,PROGRAMMING,1700,constructive algorithms
2201,A2,Lost Civilization (Hard Version),PROGRAMMING,1700,"data structures,dp"
2201,A1,Lost Civilization (Easy Version),PROGRAMMING,1300,data structures
2200,H,Six Seven,PROGRAMMING,2600,"divide and conquer,math,number theory,strings,trees"
2200,G,Operation Permutation,PROGRAMMING,2200,"combinatorics,dp,math,probabilities"
2200,F,Mooclear Reactor 2,PROGRAMMING,1900,"brute force,data structures,greedy,implementation,sortings"
2200,E,Divisive Battle,PROGRAMMING,1500,"games,greedy,math,number theory"
2200,D,Portal,PROGRAMMING,1300,"greedy,sortings"
2200,C,Specialty String,PROGRAMMING,900,"brute force,greedy,strings"
2200,B,Deletion Sort,PROGRAMMING,800,"bitmasks,brute force,greedy,sortings"
2200,A,Eating Game,PROGRAMMING,800,greedy
2199,I,Strange Process,PROGRAMMING,3000,*special
2199,H,Sum of MEX,PROGRAMMING,2300,"*special,combinatorics,data structures,dp,math"
2199,G,Jammer,PROGRAMMING,2500,"*special,math"
2199,F,Self-Produced Sequences,PROGRAMMING,2000,"*special,combinatorics,math"
2199,E,Supersequence,PROGRAMMING,2100,"*special,binary search,greedy"
2199,D,Two Arrays,PROGRAMMING,1800,"*special,math"
2199,C,Minesweeper,PROGRAMMING,1600,"*special,constructive algorithms,greedy"
2199,B,Two Towers,PROGRAMMING,1400,"*special,greedy,math"
2199,A,Game,PROGRAMMING,1000,*special
2197,B,Array and Permutation,PROGRAMMING,1100,"implementation,schedules,sortings,two pointers"
2197,A,Friendly Numbers,PROGRAMMING,800,"binary search,brute force,expression parsing,math,schedules"
2196,F,Indivisible,PROGRAMMING,3300,"brute force,constructive algorithms,graphs"
2196,E2,Fuzzy Concatenation (Hard version),PROGRAMMING,3000,"binary search,bitmasks,data structures,dp,greedy,string suffix structures"
2196,E1,Fuzzy Concatenation (Easy Version),PROGRAMMING,2900,"binary search,bitmasks,brute force,data structures,greedy,string suffix structures"
2196,D,Double Bracket Sequence,PROGRAMMING,2500,"data structures,dp,expression parsing,flows,greedy,strings"
2196,C2,Interactive Graph (Hard Version),PROGRAMMING,2000,"combinatorics,dfs and similar,dp,graphs,interactive"
2196,C1,Interactive Graph (Simple Version),PROGRAMMING,1800,"binary search,combinatorics,dfs and similar,dp,graphs,interactive"
2196,B,Another Problem about Beautiful Pairs,PROGRAMMING,1600,"brute force,math,two pointers"
2196,A,Game with a Fraction,PROGRAMMING,1200,"games,math"
2195,H,Codeforces Heuristic Contest 001,PROGRAMMING,2400,"brute force,constructive algorithms,geometry,implementation"
2195,G,Idiot First Search and Queries,PROGRAMMING,2300,"binary search,data structures,dp,graphs,trees"
2195,F,Parabola Independence,PROGRAMMING,2000,"dp,graphs,greedy,math,sortings"
2195,E,Idiot First Search,PROGRAMMING,1500,"dfs and similar,dp,trees"
2195,D,Absolute Cinema,PROGRAMMING,1300,math
2195,C,Dice Roll Sequence,PROGRAMMING,1100,"dp,greedy"
2195,B,Heapify 1,PROGRAMMING,900,"implementation,sortings"
2195,A,Sieve of Erato67henes,PROGRAMMING,800,"math,number theory"
2194,F2,Again Trees... (hard version),PROGRAMMING,3000,"bitmasks,data structures,dfs and similar,dp,fft,trees"
2194,F1,Again Trees... (Easy Version),PROGRAMMING,2300,"bitmasks,dfs and similar,dp,trees"
2194,E,The Turtle Strikes Back,PROGRAMMING,2000,"dp,graphs,greedy,implementation"
2194,D,Table Cut,PROGRAMMING,1600,"constructive algorithms,greedy,implementation"
2194,C,Secret message,PROGRAMMING,1300,"bitmasks,brute force,dp,math,number theory"
2194,B,Offshores,PROGRAMMING,1000,"greedy,implementation,math"
2194,A,Lawn Mower,PROGRAMMING,800,"greedy,math"
2193,H,Remove the Grail Tree,PROGRAMMING,2400,"dfs and similar,dp,graphs,greedy,implementation,trees"
2193,G,Paths in a Tree,PROGRAMMING,2100,"dfs and similar,interactive,sortings,trees"
2193,F,Pizza Delivery,PROGRAMMING,1600,"dp,greedy"
2193,E,Product Queries,PROGRAMMING,1300,"dp,math,number theory,shortest paths"
2193,D,Monster Game,PROGRAMMING,1100,"binary search,sortings,two pointers"
2193,C,Replace and Sum,PROGRAMMING,1000,"data structures,greedy"
2193,B,Reverse a Permutation,PROGRAMMING,800,greedy
2193,A,DBMB and the Array,PROGRAMMING,800,"brute force,math"
2192,F,Fish Fight,PROGRAMMING,2900,"dp,math,probabilities"
2192,E,Swap to Rearrange,PROGRAMMING,2100,"constructive algorithms,dfs and similar,graph matchings,graphs,greedy,strings"
2192,D,Cost of Tree,PROGRAMMING,1800,"dp,greedy,trees"
2192,C,All-in-one Gun,PROGRAMMING,1300,"binary search,greedy,math"
2192,B,Flipping Binary String,PROGRAMMING,1000,"constructive algorithms,strings"
2192,A,String Rotation Game,PROGRAMMING,800,"brute force,strings"
2191,B,MEX Reordering,PROGRAMMING,1000,"constructive algorithms,sortings"
2191,A,Array Coloring,PROGRAMMING,800,constructive algorithms
2190,G,Maximize Determinant,PROGRAMMING,3300,graphs
2190,F,Xor Product,PROGRAMMING,3300,"bitmasks,dp"
2190,E,Median Permutation,PROGRAMMING,3200,combinatorics
2190,D,Prufer Vertex,PROGRAMMING,2500,"combinatorics,dsu,number theory,probabilities,trees"
2190,C,Comparable Permutations,PROGRAMMING,2300,"greedy,implementation,interactive,sortings,two pointers"
2190,B2,Sub-RBS (Hard Version),PROGRAMMING,1900,"dp,games,implementation,strings"
2190,B1,Sub-RBS (Easy Version),PROGRAMMING,1400,"combinatorics,constructive algorithms,dp,greedy,strings,two pointers"
2190,A,Sorting Game,PROGRAMMING,1200,"constructive algorithms,games,greedy"
2189,F,Zhora the Vacuum Cleaner,PROGRAMMING,2800,"data structures,dfs and similar,dp,greedy,implementation,sortings,trees"
2189,E,Majority Wins?,PROGRAMMING,2600,"constructive algorithms,greedy,math,strings"
2189,D2,Little String (Hard Version),PROGRAMMING,2200,"combinatorics,dp,greedy,math,number theory"
2189,D1,Little String (Easy Version),PROGRAMMING,1900,"combinatorics,dp,greedy,math,number theory"
2189,C2,XOR-convenience (Hard Version),PROGRAMMING,1800,"bitmasks,constructive algorithms,math"
2189,C1,XOR Convenience (Easy Version),PROGRAMMING,1300,"bitmasks,constructive algorithms,math"
2189,B,The Curse of the Frog,PROGRAMMING,1200,"constructive algorithms,greedy,math"
2189,A,Table with Numbers,PROGRAMMING,800,"greedy,implementation"
2188,B,Seats,PROGRAMMING,1000,greedy
2188,A,Divisible Permutation,PROGRAMMING,800,constructive algorithms
2187,G,Many Cartesian Trees,PROGRAMMING,3500,"greedy,sortings,trees"
2187,F2,Al Fine (Counting Version),PROGRAMMING,3500,"dp,trees"
2187,F1,Al Fine (Maximizing Version),PROGRAMMING,3100,"binary search,data structures,divide and conquer,trees"
2187,E,Doors and Keys,PROGRAMMING,3500,"brute force,data structures,dp"
2187,D,Cool Problem,PROGRAMMING,2600,"bitmasks,dp,math"
2187,C,Jerry and Tom,PROGRAMMING,2300,"data structures,dfs and similar,dsu,games,graphs,greedy,trees"
2187,B,Shortest Statement Ever,PROGRAMMING,1800,"bitmasks,constructive algorithms,dp,greedy"
2187,A,Restricted Sorting,PROGRAMMING,1300,"greedy,sortings"
2185,H,BattleCows 2,PROGRAMMING,2500,"binary search,brute force,data structures,dp,greedy"
2185,G,Mixing MEXes,PROGRAMMING,1800,"data structures,implementation,math"
2185,F,BattleCows,PROGRAMMING,1700,"data structures,divide and conquer,implementation"
2185,E,The Robotic Rush,PROGRAMMING,1500,"binary search,greedy,implementation,two pointers"
2185,D,OutOfMemoryError,PROGRAMMING,1100,"data structures,implementation,math,two pointers"
2185,C,Shifted MEX,PROGRAMMING,900,"implementation,sortings"
2185,B,Prefix Max,PROGRAMMING,800,greedy
2185,A,Perfect Root,PROGRAMMING,800,"constructive algorithms,math"
2184,G,Nastiness of Segments,PROGRAMMING,1900,"binary search,data structures"
2184,F,Cherry Tree,PROGRAMMING,1900,"dfs and similar,dp,graphs,trees"
2184,E,Exquisite Array,PROGRAMMING,1800,"combinatorics,data structures,dsu,sortings"
2184,D,Unfair Game,PROGRAMMING,1600,"combinatorics,dp,math"
2184,C,Huge Pile,PROGRAMMING,1100,"binary search,dfs and similar,dp,graphs,math"
2184,B,Hourglass,PROGRAMMING,1100,math
2184,A,Social Experiment,PROGRAMMING,800,math
2183,I2,Pairs Flipping (Hard Version),PROGRAMMING,3500,constructive algorithms
2183,I1,Pairs Flipping (Easy Version),PROGRAMMING,3500,constructive algorithms
2183,H,Minimise Cost,PROGRAMMING,3500,"binary search,dp,greedy,sortings"
2183,G,Snake Instructions,PROGRAMMING,3200,"constructive algorithms,greedy,interactive"
2183,F,Jumping Man,PROGRAMMING,2500,"brute force,combinatorics,dfs and similar,dp,trees"
2183,E,LCM is Legendary Counting Master,PROGRAMMING,2100,"dp,math,number theory"
2183,D2,Tree Coloring (Hard Version),PROGRAMMING,2100,"combinatorics,constructive algorithms,data structures,dfs and similar,greedy,implementation,trees"
2183,D1,Tree Coloring (Easy Version),PROGRAMMING,1500,"constructive algorithms,dfs and similar,greedy,trees"
2183,C,War Strategy,PROGRAMMING,1500,"binary search,greedy,math,two pointers"
2183,B,Yet Another MEX Problem,PROGRAMMING,1100,"constructive algorithms,greedy"
2183,A,Binary Array Game,PROGRAMMING,800,games
2182,G,Short Garland,PROGRAMMING,2800,"combinatorics,data structures,dfs and similar,dp,trees"
2182,F2,Christmas Reindeer (hard version),PROGRAMMING,2500,"bitmasks,brute force,combinatorics,data structures,greedy,math"
2182,F1,Christmas Reindeer (easy version),PROGRAMMING,2300,"bitmasks,brute force,combinatorics,dp,math"
2182,E,New Year's Gifts,PROGRAMMING,1800,"binary search,data structures,greedy,sortings,two pointers"
2182,D,Christmas Tree Decoration,PROGRAMMING,1600,"combinatorics,dp,greedy,math"
2182,C,Production of Snowmen,PROGRAMMING,1200,"brute force,combinatorics,dp"
2182,B,New Year Cake,PROGRAMMING,800,brute force
2182,A,New Year String,PROGRAMMING,800,"constructive algorithms,greedy,implementation,strings"
2181,M,Medical Parity,PROGRAMMING,1700,"dp,strings"
2181,L,LLM Training,PROGRAMMING,2800,"math,string suffix structures"
2181,K,Knit the Grid,PROGRAMMING,3500,"2-sat,constructive algorithms,graphs,matrices"
2181,J,Jinx or Jackpot,PROGRAMMING,2300,"brute force,dp,math,probabilities"
2181,I,Irrigation Interlock,PROGRAMMING,3500,geometry
2181,H,Honey Cake,PROGRAMMING,1200,"brute force,math,number theory"
2181,G,Greta's Game,PROGRAMMING,2400,"binary search,dp,graphs,greedy,math"
2181,F,Fragmented Nim,PROGRAMMING,1600,games
2181,E,Elevator Against Humanity,PROGRAMMING,2900,"brute force,constructive algorithms,greedy,sortings"
2181,D,Doorway,PROGRAMMING,2000,"binary search,data structures,sortings"
2181,C,Cacti Classification,PROGRAMMING,3200,"binary search,constructive algorithms,interactive,math"
2181,B,Battle of Arrays,PROGRAMMING,1400,"data structures,games,greedy"
2181,A,Alphabet City,PROGRAMMING,1300,"binary search,math,strings"
2180,H2,Bug Is Feature (Conditional Version),PROGRAMMING,3500,games
2180,H1,Bug Is Feature (Unconditional Version),PROGRAMMING,3400,games
2180,G,Balance,PROGRAMMING,3500,"bitmasks,combinatorics,implementation,math"
2180,F2,Control Car (Hard Version),PROGRAMMING,3200,"combinatorics,dp,matrices,probabilities"
2180,F1,Control Car (Easy Version),PROGRAMMING,2800,"combinatorics,dp,probabilities"
2180,E,No Effect XOR,PROGRAMMING,2300,"bitmasks,divide and conquer,dp,greedy,math"
2180,D,Insolvable Disks,PROGRAMMING,1900,"data structures,dp,greedy,math"
2180,C,XOR-factorization,PROGRAMMING,1900,"bitmasks,constructive algorithms,dp,greedy,number theory"
2180,B,Ashmal,PROGRAMMING,800,"greedy,strings"
2180,A,Carnival Wheel,PROGRAMMING,800,"brute force,number theory"
2179,H,Blackslex and Plants,PROGRAMMING,2200,"bitmasks,data structures,dp,implementation,math"
2179,G,Blackslex and Penguin Migration,PROGRAMMING,2200,"brute force,interactive,math"
2179,F,Blackslex and Another RGB Walking,PROGRAMMING,2000,"communication,constructive algorithms,graphs,interactive,number theory,trees"
2179,E,Blackslex and Girls,PROGRAMMING,1800,"constructive algorithms,geometry,math"
2179,D,Blackslex and Penguin Civilization,PROGRAMMING,1300,"bitmasks,constructive algorithms,greedy,math"
2179,C,Blackslex and Number Theory,PROGRAMMING,1100,"implementation,math,number theory,sortings"
2179,B,Blackslex and Showering,PROGRAMMING,800,"dp,greedy,implementation"
2179,A,Blackslex and Password,PROGRAMMING,800,"math,strings"
2178,I,Numbers or Fireworks,PROGRAMMING,3300,"bitmasks,combinatorics,dp,graphs"
2178,H,Create or Duplicate,PROGRAMMING,3300,"bitmasks,graphs,number theory,shortest paths"
2178,G,deCH OR Dations,PROGRAMMING,2800,"bitmasks,data structures,dp,hashing,probabilities"
2178,F,Conquer or of Forest,PROGRAMMING,2200,"combinatorics,math,trees"
2178,E,Flatten or Concatenate,PROGRAMMING,2000,"binary search,divide and conquer,interactive"
2178,D,Xmas or Hysteria,PROGRAMMING,1700,"constructive algorithms,greedy,implementation,math"
2178,C,First or Second,PROGRAMMING,1200,"dp,greedy,implementation"
2178,B,Impost or Sus,PROGRAMMING,900,"dp,greedy,implementation,strings"
2178,A,Yes or Yes,PROGRAMMING,800,"greedy,strings"
2176,F,Omega Numbers,PROGRAMMING,2400,"bitmasks,combinatorics,dp,math,number theory"
2176,E,Remove at the lowest cost,PROGRAMMING,2400,"data structures,dfs and similar,dp,dsu,greedy,implementation,trees"
2176,D,Fibonacci Paths,PROGRAMMING,1800,"data structures,dp,graphs,sortings"
2176,C,Odd Process,PROGRAMMING,1300,"greedy,sortings"
2176,B,Optimal Shifts,PROGRAMMING,1000,"bitmasks,greedy,strings"
2176,A,Operations with Inversions,PROGRAMMING,800,"greedy,implementation,math"
2175,B,XOR Array,PROGRAMMING,1300,"constructive algorithms,math"
2175,A,Little Fairy's Painting,PROGRAMMING,800,implementation
2174,F,Mosaic Tree,PROGRAMMING,2800,"combinatorics,dp,fft,math,trees"
2174,E2,Game of Scientists (Version 2),PROGRAMMING,3200,"binary search,chinese remainder theorem,dfs and similar,interactive,math"
2174,E1,Game of Scientists (Version 1),PROGRAMMING,3100,"chinese remainder theorem,constructive algorithms,interactive,math"
2174,D,Secret Message,PROGRAMMING,3400,"data structures,dp,greedy,trees"
2174,C2,Beautiful Patterns (Hard Version),PROGRAMMING,2500,"combinatorics,math,probabilities"
2174,C1,Beautiful Patterns (Easy Version),PROGRAMMING,2400,"combinatorics,math,probabilities"
2174,B,Wishing Cards,PROGRAMMING,1900,dp
2174,A,Needle in a Haystack,PROGRAMMING,1200,"greedy,strings,two pointers"
2173,F,Isla's Memory Thresholds,PROGRAMMING,2600,"binary search,brute force,data structures,divide and conquer,math"
2173,E,Shiro's Mirror Duel,PROGRAMMING,2200,"constructive algorithms,greedy,interactive,probabilities,sortings"
2173,D,Taiga's Carry Chains,PROGRAMMING,1900,"bitmasks,brute force,dp,greedy,math"
2173,C,Kanade's Perfect Multiples,PROGRAMMING,1400,"brute force,constructive algorithms,greedy,number theory"
2173,B,Niko's Tactical Cards,PROGRAMMING,1100,"dp,greedy,math"
2173,A,Sleeping Through Classes,PROGRAMMING,800,"greedy,implementation"
2172,N,New Kingdom,PROGRAMMING,2800,"constructive algorithms,graphs,implementation"
2172,M,Maximum Distance To Port,PROGRAMMING,1300,"graphs,shortest paths"
2172,L,Maximum Color Segment,PROGRAMMING,2300,"dp,implementation"
2172,K,Kindergarten Homework,PROGRAMMING,2100,"implementation,strings"
2172,J,Sliding Tiles,PROGRAMMING,2300,"data structures,divide and conquer,dsu"
2172,I,Birthday,PROGRAMMING,2000,geometry
2172,H,Shuffling Cards with Problem Solver 68!,PROGRAMMING,2500,"hashing,string suffix structures,strings"
2172,G,Gene Editor,PROGRAMMING,3300,
2172,F,Cluster Computing System,PROGRAMMING,1600,"graphs,greedy,math"
2172,E,Number Maze,PROGRAMMING,1200,implementation
2172,D,Divisor Card Game,PROGRAMMING,3100,"combinatorics,dp"
2172,C,Circles Are Far from Each Other,PROGRAMMING,3100,"binary search,greedy"
2172,B,Buses,PROGRAMMING,1800,"greedy,sortings"
2172,A,ASCII Art Contest,PROGRAMMING,800,implementation
2171,H,Shiori Miyagi and Maximum Array Score,PROGRAMMING,2400,"binary search,data structures,dp,sortings"
2171,G,Sakura Adachi and Optimal Sequences,PROGRAMMING,2000,"bitmasks,combinatorics,greedy,math"
2171,F,Rae Taylor and Trees (hard version),PROGRAMMING,1600,"binary search,constructive algorithms,data structures,dp,dsu,greedy,implementation,trees"
2171,E,Anisphia Wynn Palettia and Good Permutations,PROGRAMMING,2000,"constructive algorithms,greedy,number theory"
2171,D,Rae Taylor and Trees (easy version),PROGRAMMING,1400,"binary search,data structures,dp,dsu,greedy,implementation,trees"
2171,C2,Renako Amaori and XOR Game (hard version),PROGRAMMING,1400,"bitmasks,games,greedy"
